Date,Price
Mar 25 2023,1775.87
Mar 24 2023,1743.95
Mar 23 2023,1749.8
Mar 22 2023,1815.6
Mar 21 2023,1739.7
Mar 20 2023,1810.34
Mar 19 2023,1737.33
Mar 18 2023,1785.37
Mar 17 2023,1760.46
Mar 16 2023,1789.98
Mar 15 2023,1677.02
Mar 14 2023,1654.79
Mar 13 2023,1705.61
Mar 12 2023,1680.03
Mar 11 2023,1588.12
Mar 10 2023,1482.03
Mar 09 2023,1430.73
Mar 08 2023,1436.97
Mar 07 2023,1532.64
Mar 06 2023,1562.02
Mar 05 2023,1566.21
Mar 04 2023,1564.31
Mar 03 2023,1566.43
Mar 02 2023,1568.46
Mar 01 2023,1646.77
Feb 28 2023,1665.33
Feb 27 2023,1603.69
Feb 26 2023,1634.3
Feb 25 2023,1641.1
Feb 24 2023,1594.64
Feb 23 2023,1609.14
Feb 22 2023,1651.61
Feb 21 2023,1643.47
Feb 20 2023,1656.92
Feb 19 2023,1702.92
Feb 18 2023,1679.56
Feb 17 2023,1691.83
Feb 16 2023,1694.84
Feb 15 2023,1636.98
Feb 14 2023,1675.16
Feb 13 2023,1556.66
Feb 12 2023,1506.92
Feb 11 2023,1515.95
Feb 10 2023,1539.24
Feb 09 2023,1513.21
Feb 08 2023,1545.77
Feb 07 2023,1649.2
Feb 06 2023,1671.59
Feb 05 2023,1614.26
Feb 04 2023,1629.84
Feb 03 2023,1666.25
Feb 02 2023,1663.99
Feb 01 2023,1641.62
Jan 31 2023,1642.4
Jan 30 2023,1586.39
Jan 29 2023,1566.26
Jan 28 2023,1646.39
Jan 27 2023,1573.4
Jan 26 2023,1597.8
Jan 25 2023,1602.89
Jan 24 2023,1614.25
Jan 23 2023,1556.02
Jan 22 2023,1627.14
Jan 21 2023,1627.55
Jan 20 2023,1626
Jan 19 2023,1660.15
Jan 18 2023,1552.25
Jan 17 2023,1513.29
Jan 16 2023,1567.01
Jan 15 2023,1576.08
Jan 14 2023,1552.85
Jan 13 2023,1550.18
Jan 12 2023,1451.35
Jan 11 2023,1416.51
Jan 10 2023,1389.06
Jan 09 2023,1335.41
Jan 08 2023,1321.17
Jan 07 2023,1287.41
Jan 06 2023,1264.27
Jan 05 2023,1269.05
Jan 04 2023,1250.81
Jan 03 2023,1256.83
Jan 02 2023,1214.13
Jan 01 2023,1213.76
Dec 31 2022,1199.96
Dec 30 2022,1194.86
Dec 29 2022,1198.93
Dec 28 2022,1201.1
Dec 27 2022,1189.51
Dec 26 2022,1211.01
Dec 25 2022,1227.24
Dec 24 2022,1218.79
Dec 23 2022,1220.54
Dec 22 2022,1220.07
Dec 21 2022,1217.48
Dec 20 2022,1213.45
Dec 19 2022,1217.08
Dec 18 2022,1166.57
Dec 17 2022,1181.96
Dec 16 2022,1187.22
Dec 15 2022,1166.2
Dec 14 2022,1266.66
Dec 13 2022,1308.15
Dec 12 2022,1320.47
Dec 11 2022,1275.4
Dec 10 2022,1263.85
Dec 09 2022,1266.32
Dec 08 2022,1262.53
Dec 07 2022,1280.54
Dec 06 2022,1230.93
Dec 05 2022,1272.76
Dec 04 2022,1258.73
Dec 03 2022,1280.95
Dec 02 2022,1242.05
Dec 01 2022,1295.54
Nov 30 2022,1275.41
Nov 29 2022,1294.46
Nov 28 2022,1216.09
Nov 27 2022,1168.65
Nov 26 2022,1191.89
Nov 25 2022,1204.52
Nov 24 2022,1197.62
Nov 23 2022,1203.93
