tweet_id,text,favorite_count,retweet_count,created_at
1647956645425586177,RT @Nazia_Memon48: Put this man behind the bars immediately and you will notice a considerable decline in the cases of #ForcedConversions i…,0,5,Mon Apr 17 13:34:16 +0000 2023
1647938981881868288,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Mon Apr 17 12:24:05 +0000 2023
1647935113026760706,RT @Nazia_Memon48: Put this man behind the bars immediately and you will notice a considerable decline in the cases of #ForcedConversions i…,0,5,Mon Apr 17 12:08:42 +0000 2023
1647931368117268481,"Speaking against #Terrorism = Hate speech😏
Speaking against #LoveJihad #LandJihad= Hate speech😏
Speaking against… https://t.co/FnR1l1EEwT",0,0,Mon Apr 17 11:53:49 +0000 2023
1647902848653594624,RT @Nazia_Memon48: Put this man behind the bars immediately and you will notice a considerable decline in the cases of #ForcedConversions i…,0,5,Mon Apr 17 10:00:30 +0000 2023
1647896014324396032,RT @Nazia_Memon48: Put this man behind the bars immediately and you will notice a considerable decline in the cases of #ForcedConversions i…,0,5,Mon Apr 17 09:33:20 +0000 2023
1647894796906659840,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Mon Apr 17 09:28:30 +0000 2023
1647887052707446785,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Mon Apr 17 08:57:44 +0000 2023
1647879947938324481,RT @Nazia_Memon48: Put this man behind the bars immediately and you will notice a considerable decline in the cases of #ForcedConversions i…,0,5,Mon Apr 17 08:29:30 +0000 2023
1647863159959482370,"RT @MalaikaSRaza: Bilawal seeks legislation to stop forced conversions, marriages | 
This was last year &amp; GOS already working on this legis…",0,20,Mon Apr 17 07:22:47 +0000 2023
1647859591537893378,Put this man behind the bars immediately and you will notice a considerable decline in the cases of… https://t.co/Ie8ndak7pF,11,5,Mon Apr 17 07:08:37 +0000 2023
1647816714451648516,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Mon Apr 17 04:18:14 +0000 2023
1647803909027639300,RT @MTT_News: Pakistan and forced conversions of non-Muslims: reorientation urged https://t.co/nZaXVEZMBN MODERN TOKYO TIMES @KASHNAWAB #Pa…,0,9,Mon Apr 17 03:27:21 +0000 2023
1647801058763198465,RT @MTT_News: Pakistan and forced conversions of non-Muslims: reorientation urged https://t.co/nZaXVEZMBN MODERN TOKYO TIMES @KASHNAWAB #Pa…,0,9,Mon Apr 17 03:16:01 +0000 2023
1647793542675460096,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Mon Apr 17 02:46:09 +0000 2023
1647786401155383298,"RT @voice_minority: The man behind our miseries and the reason for rampant #ForcedConversions in Pakistan, especially Sindh. 
#SayNoToForce…",0,67,Mon Apr 17 02:17:47 +0000 2023
1647769457396420608,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Mon Apr 17 01:10:27 +0000 2023
1647760004169039872,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Mon Apr 17 00:32:53 +0000 2023
1647756094574305287,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Mon Apr 17 00:17:21 +0000 2023
1647739472812048384,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 23:11:18 +0000 2023
1647733376852590593,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 22:47:05 +0000 2023
1647726333336727555,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 22:19:05 +0000 2023
1647723828460568580,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 22:09:08 +0000 2023
1647712600904409092,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 21:24:31 +0000 2023
1647709414349045762,"RT @laa_naeem: Bilawal seeks legislation to stop forced conversions, marriages | 
This was last year &amp; GOS already working on this legislat…",0,4,Sun Apr 16 21:11:51 +0000 2023
1647699609710649349,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 20:32:54 +0000 2023
1647693490929672192,"RT @MTT_News: The UN tells Pakistan to stem forced marriages of Christians, Hindus, and Sikhs https://t.co/rqJaALKNdx  #Pakistan #ForcedMar…",0,5,Sun Apr 16 20:08:35 +0000 2023
