Datetime,Predicted_Temperature,Algorithm,Actual
1/1/2023,19.14242392,ARIMAX,19
1/2/2023,19.27379361,ARIMAX,18.6
1/3/2023,19.40209366,ARIMAX,18.2
1/4/2023,19.52780582,ARIMAX,17.4
1/5/2023,19.65100456,ARIMAX,16.4
1/6/2023,19.77174136,ARIMAX,17.9
1/7/2023,19.89006546,ARIMAX,19.9
1/8/2023,20.00602509,ARIMAX,19.4
1/9/2023,20.1196675,ARIMAX,18.8
1/10/2023,20.23103899,ARIMAX,19.4
1/11/2023,20.34018494,ARIMAX,21.3
1/12/2023,20.44714982,ARIMAX,19.5
1/13/2023,20.55197723,ARIMAX,16.2
1/14/2023,20.65470986,ARIMAX,15.2
1/15/2023,20.75538959,ARIMAX,14.3
1/16/2023,20.85405743,ARIMAX,15.9
1/17/2023,20.95075359,ARIMAX,15.7
1/18/2023,21.04551747,ARIMAX,16.9
1/19/2023,21.13838768,ARIMAX,18
1/20/2023,21.22940206,ARIMAX,17.5
1/21/2023,21.3185977,ARIMAX,16.8
1/22/2023,21.40601094,ARIMAX,15.8
1/23/2023,21.4916774,ARIMAX,15.4
1/24/2023,21.57563199,ARIMAX,14.6
1/25/2023,21.65790891,ARIMAX,14.8
1/26/2023,21.73854169,ARIMAX,15.3
1/27/2023,21.81756318,ARIMAX,16.1
1/28/2023,21.89500559,ARIMAX,17.4
1/29/2023,21.97090046,ARIMAX,17.6
1/30/2023,22.04527872,ARIMAX,18.1
1/31/2023,22.11817068,ARIMAX,19.3
2/1/2023,22.18960604,ARIMAX,18
2/2/2023,22.25961391,ARIMAX,18.1
2/3/2023,22.3282228,ARIMAX,18.9
2/4/2023,22.39546068,ARIMAX,20.7
2/5/2023,22.46135495,ARIMAX,21.3
2/6/2023,22.52593245,ARIMAX,24.7
2/7/2023,22.5892195,ARIMAX,21.8
2/8/2023,22.65124188,ARIMAX,21.6
2/9/2023,22.71202487,ARIMAX,22.8
2/10/2023,22.77159322,ARIMAX,23.7
2/11/2023,22.82997123,ARIMAX,23.2
2/12/2023,22.88718266,ARIMAX,22.5
2/13/2023,22.94325084,ARIMAX,20.8
2/14/2023,22.9981986,ARIMAX,21.6
2/15/2023,23.05204835,ARIMAX,22.2
2/16/2023,23.10482201,ARIMAX,22.2
2/17/2023,23.15654109,ARIMAX,22.5
2/18/2023,23.20722667,ARIMAX,22.1
2/19/2023,23.2568994,ARIMAX,22
2/20/2023,23.30557952,ARIMAX,23.6
2/21/2023,23.35328687,ARIMAX,24.4
2/22/2023,23.40004087,ARIMAX,23.3
2/23/2023,23.44586059,ARIMAX,23.3
2/24/2023,23.4907647,ARIMAX,23.3
2/25/2023,23.53477148,ARIMAX,24.5
2/26/2023,23.57789888,ARIMAX,25.3
2/27/2023,23.62016446,ARIMAX,24.6
2/28/2023,23.66158545,ARIMAX,24.3
3/1/2023,23.70217872,ARIMAX,24.4
3/2/2023,23.74196081,ARIMAX,26.3
3/3/2023,23.78094794,ARIMAX,26.7
3/4/2023,23.81915598,ARIMAX,27.4
3/5/2023,23.85660052,ARIMAX,27.2
3/6/2023,23.8932968,ARIMAX,27.9
3/7/2023,23.92925978,ARIMAX,26.7
3/8/2023,23.9645041,ARIMAX,26.7
3/9/2023,23.99904414,ARIMAX,27.5
3/10/2023,24.03289397,ARIMAX,27
3/11/2023,24.06606737,ARIMAX,27.1
3/12/2023,24.09857787,ARIMAX,27.3
3/13/2023,24.13043871,ARIMAX,25.4
3/14/2023,24.16166288,ARIMAX,25.4
3/15/2023,24.19226309,ARIMAX,26.5
3/16/2023,24.22225182,ARIMAX,26.5
3/17/2023,24.25164128,ARIMAX,27
3/18/2023,24.28044345,ARIMAX,26.6
3/19/2023,24.30867007,ARIMAX,25.9
3/20/2023,24.33633264,ARIMAX,25.1
3/21/2023,24.36344242,ARIMAX,24.8
3/22/2023,24.39001047,ARIMAX,24.8
3/23/2023,24.4160476,ARIMAX,24
3/24/2023,24.44156444,ARIMAX,25.3
3/25/2023,24.46657137,ARIMAX,25.5
3/26/2023,24.49107859,ARIMAX,25.8
3/27/2023,24.51509609,ARIMAX,26.8
3/28/2023,24.53863364,ARIMAX,26.2
3/29/2023,24.56170083,ARIMAX,26.6
3/30/2023,24.58430708,ARIMAX,25.7
3/31/2023,24.60646158,ARIMAX,26.6
4/1/2023,24.62817337,ARIMAX,26.7
