Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral
Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2
Aberlour,3,3,1,0,0,4,3,2,2,3,3,2
Balblair,2,3,2,1,0,0,2,0,2,1,2,1
Balmenach,4,3,2,0,0,2,1,3,3,0,1,2
Dufftown,2,3,1,1,0,0,0,0,1,2,2,2
Edradour,2,3,1,0,0,2,1,1,4,2,2,2
GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1
GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1
Highland Park,2,2,3,1,0,2,1,1,1,2,1,1
Inchgower,1,3,1,1,0,2,2,0,1,2,1,2
Knochando,2,3,1,0,0,2,2,1,2,1,2,2
RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2
RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1
Scapa,2,2,1,1,0,2,1,1,2,2,2,2
Strathmill,2,3,1,0,0,0,2,0,2,1,3,2
